Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
19213600;Private bedroom, bathroom and lounge area;36108984;Randwick;Private room;74;1;3;2017-07-14;0.08;1;0;2020-06-11;Sydney;Australia;-33.93384816848171, 151.24115969964134;Australia, Sydney, Randwick
19388126;Stylish & Spacious Darlinghurst Apartment;135915840;Sydney;Entire home/apt;140;2;14;2018-10-10;0.4;1;0;2020-06-11;Sydney;Australia;-33.87855924463254, 151.22351336834575;Australia, Sydney, Sydney
19494698;Brand new studio apartment fully furnished;136862326;Warringah;Entire home/apt;80;3;0;;;1;0;2020-06-11;Sydney;Australia;-33.77738248800072, 151.2736522609411;Australia, Sydney, Warringah
19949969;Conveniently located Northern beaches apartment;6754913;Manly;Entire home/apt;120;3;23;2020-03-07;0.69;1;178;2020-06-11;Sydney;Australia;-33.79402345595063, 151.26545907182876;Australia, Sydney, Manly
20961468;The Dunes, Nr Manly, Sydney;27176452;Warringah;Entire home/apt;200;3;43;2020-06-08;1.32;1;0;2020-06-11;Sydney;Australia;-33.776838963702005, 151.28887879884945;Australia, Sydney, Warringah
21473950;Beachside BnB;69189185;Warringah;Private room;100;1;1;2017-11-10;0.03;2;0;2020-06-11;Sydney;Australia;-33.780390426541544, 151.2867792089594;Australia, Sydney, Warringah
21840442;Amazing Designer Apartment with Excellent Location;159262361;Sydney;Entire home/apt;249;180;18;2019-10-30;0.6;3;294;2020-06-11;Sydney;Australia;-33.898898852984665, 151.18927719785475;Australia, Sydney, Sydney
21967102;300m to Bondi Beach with Everything You Need;12819225;Waverley;Entire home/apt;174;5;12;2019-04-22;0.4;4;0;2020-06-11;Sydney;Australia;-33.89265840183115, 151.27163661362263;Australia, Sydney, Waverley
22054996;Bondi Getaway, Beachside Pad Plus 2x Parking;24269258;Waverley;Entire home/apt;220;3;35;2020-03-08;1.17;2;289;2020-06-11;Sydney;Australia;-33.88972729091344, 151.25624460897095;Australia, Sydney, Waverley
22404165;Beach Side Guest suit. Amazing ocean views!;163886640;Randwick;Entire home/apt;69;2;87;2020-06-05;2.92;1;349;2020-06-11;Sydney;Australia;-33.94254387860218, 151.26214573667218;Australia, Sydney, Randwick
